Title,Rating,Votes,Duration,Genre
115. Officer Black Belt,6.9, (8.7K),1h 48m,Action
116. Yodha,5.7, (9K),2h 10m,Action
117. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Action
118. Shark Warning,3.4, (350),1h 34m,Action
119. Saripodhaa Sanivaaram,7.0, (9.9K),2h 46m,Action
120. Chandu Champion,7.8, (34K),2h 22m,Action
121. The Quiet Ones,6.1, (1K),1h 50m,Action
122. My Hero Academia: You're Next,7.0, (2.6K),1h 50m,Action
123. Singham Again,4.6, (75K),2h 24m,Action
124. Gunner,3.2, (2.8K),1h 46m,Action
125. Devara Part 1,6.0, (21K),2h 56m,Action
126. Panda Plan,5.1, (1.5K),1h 39m,Action
127. Long Gone Heroes,5.1, (1.3K),1h 41m,Action
128. Latency,4.2, (2.9K),1h 34m,Action
129. Code 8: Part II,5.7, (16K),1h 40m,Action
130. Sikandar ka Muqaddar,5.9, (25K),2h 22m,Action
131. Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Action
132. River of Blood,5.0, (2K),1h 26m,Action
133. Alien: Rubicon,2.5, (420),1h 26m,Action
134. Baby John,5.1, (17K),2h 39m,Action
135. Terminator: Skynet Rising,6.7, (282),1h 28m,Action
136. Escape from the 21st Century,6.4, (1K),1h 38m,Action
137. Badland Hunters,5.9, (13K),1h 47m,Action
138. Jigra,6.0, (24K),2h 33m,Action
139. Vedaa,6.0, (4.5K),2h 25m,Action
140. Viduthalai Part 2,7.8, (16K),2h 50m,Action
141. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Action
142. Kanguva,4.5, (15K),2h 32m,Action
143. Bohurupi,7.9, (1.7K),2h 35m,Action
144. One More Shot,5.4, (3.8K),1h 43m,Action
145. Duchess,4.6, (1.6K),1h 54m,Action
146. Joe Baby,5.1, (97),1h 26m,Action
147. Son's Will,7.4, (1K),2h 28m,Action
148. The Wages of Fear,4.6, (4.2K),1h 44m,Action
149. Lal Salaam,4.5, (1.4K),2h 30m,Action
150. Vettaiyan,6.9, (40K),2h 43m,Action
151. Striking Rescue,5.6, (676),1h 51m,Action
152. Raayan,6.5, (11K),2h 25m,Action
153. Black Heat,8.1, (133),1h 33m,Action
154. Captain Miller,6.9, (11K),2h 37m,Action
155. A.R.M,7.1, (8.9K),2h 30m,Action
156. Hanu Man,7.7, (29K),2h 38m,Action
157. The Twisters,2.6, (393),1h 26m,Action
158. Hitpig,5.1, (1.1K),1h 26m,Action
159. Escape,6.4, (2.2K),1h 34m,Action
160. Anaconda,4.9, (665),1h 24m,Action
161. Ka Whawhai Tonu,7.2, (199),1h 55m,Action
162. City Hunter,6.3, (5.7K),1h 42m,Action
163. Elyas,6.1, (1.5K),1h 45m,Action
164. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Action
165. Despatch,4.4, (4.5K),2h 33m,Action
166. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Action
167. The Courier,6.0, (4.5K),1h 41m,Action
168. The Family Star,5.4, (5.6K),2h 39m,Action
